FBin        FFTr             FFTi             SpectraPower
000       00000092         00000000         0000000000005344
001       00000017         FFFFFFE3         000000000000055A
002       0000014D         00000037         000000000001BCFA
003       FFFFFF1D         FFFFFF4D         0000000000014672
004       0000001F         000000DF         000000000000C602
005       FFFFFF8F         FFFFFF44         000000000000BBF1
006       0000006E         FFFFFF7F         0000000000007045
007       FFFFFEEF         0000017B         000000000003543A
008       0000013C         FFFFFDE3         000000000005FD59
009       FFFFFF20         000000B1         0000000000013E61
00A       FFFFFFAC         0000009A         0000000000007834
00B       00000096         FFFFFE99         0000000000024F55
00C       000000C9         0000009F         0000000000010092
00D       FFFFFFFE         00000014         0000000000000194
00E       FFFFFF32         0000004C         000000000000BC54
00F       00000031         FFFFFF2A         000000000000BC45
010       00000038         000000C6         000000000000A564
011       FFFFFEF4         FFFFFE3C         00000000000436A0
012       00000122         00000184         0000000000039494
013       FFFFFF90         FFFFFF02         0000000000012D04
014       0000003D         00000064         0000000000003599
015       00000058         FFFFFFD5         0000000000002579
016       FFFFFF22         000000E3         00000000000189CD
017       0000010D         FFFFFFC2         00000000000129AD
018       FFFFFDC7         FFFFFF8E         0000000000052375
019       000000D1         0000006B         000000000000D75A
01A       00000028         FFFFFFF4         00000000000006D0
01B       0000007A         00000160         0000000000021E24
01C       FFFFFFBA         FFFFFEC2         0000000000019E28
01D       000000C1         FFFFFFEB         000000000000933A
01E       FFFFFF77         00000003         000000000000495A
01F       00000059         FFFFFFB1         0000000000003752
020       00000005         FFFFFFE4         0000000000000329
021       FFFFFFA9         000000E6         000000000000EC35
022       FFFFFFEA         FFFFFFB4         0000000000001874
023       00000091         00000010         0000000000005321
024       FFFFFFAB         0000012A         000000000001771D
025       00000061         FFFFFEB3         000000000001D5EA
026       000000AB         00000055         0000000000008E72
027       FFFFFED9         00000067         0000000000017D62
028       FFFFFF18         FFFFFE99         000000000002C9B1
029       000000D8         0000020C         000000000004E6D0
02A       00000003         FFFFFEFB         0000000000010A22
02B       FFFFFEEA         FFFFFFD8         0000000000013424
02C       000000FF         000000C2         0000000000019105
02D       FFFFFF4C         FFFFFF59         000000000000EB81
02E       00000032         FFFFFFF9         00000000000009F5
02F       FFFFFEE0         FFFFFF37         000000000001E1D1
030       000000F7         00000119         00000000000222C2
031       FFFFFFF2         0000007E         0000000000003EC8
032       FFFFFFC9         FFFFFD03         000000000008F9DA
033       FFFFFEC2         00000378         00000000000D9344
034       00000091         FFFFFE1F         000000000003D9E2
035       00000032         0000006F         00000000000039E5
036       FFFFFFC6         0000007B         000000000000483D
037       FFFFFEE0         0000001E         0000000000014784
038       00000146         00000029         000000000001A5B5
039       FFFFFFF2         FFFFFFA4         00000000000021D4
03A       00000199         FFFFFFBB         000000000002A00A
03B       FFFFFD3C         00000102         000000000008AA14
03C       000000E1         00000031         000000000000CF22
03D       000000BB         FFFFFF82         000000000000C69D
03E       00000029         FFFFFF6E         00000000000059D5
03F       FFFFFF66         00000212         000000000004A5E8
040       00000008         FFFFFEFC         0000000000010850
041       FFFFFFFA         FFFFFF90         0000000000003124
042       000000F6         0000017B         0000000000031D7D
043       FFFFFF75         FFFFFE3F         0000000000035EFA
044       0000009C         00000133         000000000001CF39
045       FFFFFE2B         00000151         00000000000516DA
046       00000163         FFFFFF2E         000000000002988D
047       FFFFFE76         00000010         0000000000025F64
048       00000056         FFFFFFC5         0000000000002A7D
049       00000164         FFFFFEFF         000000000002F111
04A       FFFFFF6E         00000091         000000000000A565
04B       FFFFFFD5         FFFFFED5         0000000000016472
04C       00000035         00000165         000000000001FCD2
04D       FFFFFFF4         00000003         0000000000000099
04E       FFFFFF81         FFFFFF56         000000000000AFE5
04F       00000063         000000E0         000000000000EA49
050       000000E1         FFFFFE3C         000000000003E3D1
051       FFFFFEB3         000001F5         00000000000585A2
052       00000036         FFFFFF7F         0000000000004C65
053       FFFFFF4C         FFFFFF19         0000000000014F01
054       00000021         0000012B         000000000001617A
055       FFFFFF12         FFFFFED0         0000000000024644
056       FFFFFFD1         0000011F         0000000000014A62
057       FFFFFF6A         00000124         000000000001A4F4
058       FFFFFF8E         FFFFFEEB         0000000000015E7D
059       00000152         00000079         000000000001F775
05A       FFFFFF3A         FFFFFFAD         000000000000B40D
05B       00000109         00000157         000000000002DDE2
05C       FFFFFFA9         00000027         0000000000002382
