SPECTRA 6

Header:
Packet Version Number: 0000 = 0 = 0000
Packet Type: 0000 = 0 = 0000
Secondary Header Flag: 0001 = 1 = 0001
App ID: 001010110000 = 688 = 02B0
Sequence Flags: 0011 = 3 = 0003
Sequence Count: 0000000000000101 = 5 = 0005
Packet Data Length: 0000001000000001 = 513 = 0201
Coarse Time: 11000000111111111110111000001001 = 3237998089
Fine_Time: 0000010100100111 = 1319 = 0527

HEX
(1)	(2)	(3)	(4)	(5)
901	A78	A08	8CB	903
DDF	A7B	A09	8CB	903
E5F	A7E	A09	8CB	903
DDF	A83	A09	8CB	903
952	A88	A09	8CB	903
8E6	A8E	A0A	8CB	903
8C2	A95	A0A	8CB	903
897	A9F	A0B	8CB	903
87F	AA7	A0B	8CB	903
864	AB4	A0C	8CB	903
852	ABF	A0D	8CB	903
83D	ACF	A0D	8CB	904
82E	ADE	A0E	8CB	904
81D	AF4	A0F	8CB	904
811	B06	A10	8CB	904
803	B25	A11	8CB	904
7F8	B3E	A13	8CB	904
7ED	B70	A14	8CB	904
7DF	BEF	A16	8CB	904
7CC	E0B	A19	8CC	905
7BB	DFC	A1C	8CC	905
7AC	BCF	A1F	8CC	905
79F	B4C	A23	8CC	906
790	B09	A27	8CC	906
784	ADA	A2C	8CC	907
779	AB4	A31	8CC	907
76F	A96	A37	8CD	908
764	A7C	A3D	8CD	908
757	A5B	A47	8CD	909
746	A37	A56	8CE	90A
736	A1A	A69	8CE	90C
728	A01	A7F	8CF	90D
71B	9EB	A9B	8CF	90E
70E	9D8	ABE	8D0	910
702	9C7	AED	8D1	912
6F8	9B8	B32	8D2	914
6EC	9AA	BB1	8D2	916
6E0	997	DC4	8D4	91A
6CD	981	B1F	8D6	91F
6BD	96D	A96	8D8	924
6B0	95C	A45	8DA	92A
6A1	94D	A0B	8DD	931
695	93F	9DC	8E0	939
68B	932	9B5	8E3	941
67F	926	993	8E7	94B
675	91B	975	8EA	955
66C	911	95B	8EE	960
660	903	938	8F5	974
650	8F2	910	8FF	993
642	8E3	8ED	90B	9BB
634	8D6	8CF	919	9F2
62B	8CA	8B4	929	A42
620	8C0	89C	93C	AE8
618	8B6	887	954	D84
610	8AD	874	972	AB4
607	8A5	863	999	A2E
5FC	89B	84D	A07	9CF
667	90D	951	8F0	965
65D	8FE	92D	8F7	97B
653	8F8	91D	8FB	986
64D	8EF	908	901	999
64F	8EA	8FD	904	9A5
645	8E5	8F0	909	9B5
643	8E2	8EA	90B	9BD
5FC	89A	84A	A01	9BF
65D	901	95C	8D0	93A
5EC	88A	847	981	A06


INT
(1)	(2)	(3)	(4)	(5)
2305	2680	2568	2251	2307
3551	2683	2569	2251	2307
3679	2686	2569	2251	2307
3551	2691	2569	2251	2307
2386	2696	2569	2251	2307
2278	2702	2570	2251	2307
2242	2709	2570	2251	2307
2199	2719	2571	2251	2307
2175	2727	2571	2251	2307
2148	2740	2572	2251	2307
2130	2751	2573	2251	2307
2109	2767	2573	2251	2308
2094	2782	2574	2251	2308
2077	2804	2575	2251	2308
2065	2822	2576	2251	2308
2051	2853	2577	2251	2308
2040	2878	2579	2251	2308
2029	2928	2580	2251	2308
2015	3055	2582	2251	2308
1996	3595	2585	2252	2309
1979	3580	2588	2252	2309
1964	3023	2591	2252	2309
1951	2892	2595	2252	2310
1936	2825	2599	2252	2310
1924	2778	2604	2252	2311
1913	2740	2609	2252	2311
1903	2710	2615	2253	2312
1892	2684	2621	2253	2312
1879	2651	2631	2253	2313
1862	2615	2646	2254	2314
1846	2586	2665	2254	2316
1832	2561	2687	2255	2317
1819	2539	2715	2255	2318
1806	2520	2750	2256	2320
1794	2503	2797	2257	2322
1784	2488	2866	2258	2324
1772	2474	2993	2258	2326
1760	2455	3524	2260	2330
1741	2433	2847	2262	2335
1725	2413	2710	2264	2340
1712	2396	2629	2266	2346
1697	2381	2571	2269	2353
1685	2367	2524	2272	2361
1675	2354	2485	2275	2369
1663	2342	2451	2279	2379
1653	2331	2421	2282	2389
1644	2321	2395	2286	2400
1632	2307	2360	2293	2420
1616	2290	2320	2303	2451
1602	2275	2285	2315	2491
1588	2262	2255	2329	2546
1579	2250	2228	2345	2626
1568	2240	2204	2364	2792
1560	2230	2183	2388	3460
1552	2221	2164	2418	2740
1543	2213	2147	2457	2606
1532	2203	2125	2567	2511
1639	2317	2385	2288	2405
1629	2302	2349	2295	2427
1619	2296	2333	2299	2438
1613	2287	2312	2305	2457
1615	2282	2301	2308	2469
1605	2277	2288	2313	2485
1603	2274	2282	2315	2493
1532	2202	2122	2561	2495
1629	2305	2396	2256	2362
1516	2186	2119	2433	2566
