CROSS-SPECTRA A 9

Header:
Packet Version Number: 0000 = 0 = 0000
Packet Type: 0000 = 0 = 0000
Secondary Header Flag: 0001 = 1 = 0001
App ID: 001010110100 = 692 = 02B4
Sequence Flags: 0011 = 3 = 0003
Sequence Count: 0000000000001000 = 8 = 0008
Packet Data Length: 0000001111111001 = 1017 = 03F9
Coarse Time: 11000000111111111110111000001100 = 3237998092
Fine_Time: 0000010100100111 = 1319 = 0527

HEX
(A1)	(A2)	(A3)	(A4)	(A5)	(A6)	(A7)	(A8)	(A9)	(A10)
C64	3E6	355	3A5	520	4D1	4DF	4B5	4C3	473
D59	4D9	478	490	521	4D1	4DF	4B5	4C3	473
D88	4F8	465	4B0	521	4D2	4E0	4B5	4C3	473
D73	4D7	C25	490	522	4D3	4E1	4B5	4C3	473
4B0	C1B	B40	BD9	523	4D3	4E1	4B5	4C3	474
49D	C0B	B55	BC8	524	4D5	4E3	4B5	4C3	473
49C	C07	B35	BC4	526	4D6	4E4	4B5	4C3	473
498	C03	B42	BC0	527	4D8	4E6	4B5	4C3	473
499	C01	B27	BBE	529	4DA	4E7	4B6	4C4	474
499	BFF	B3C	BBC	52C	4DC	4EA	4B6	4C4	474
49B	BFF	B3B	BBC	52E	4DE	4EC	4B6	4C4	474
49D	BFE	B37	BBB	531	4E2	4EF	4B6	4C4	474
49F	BFD	B35	BBA	535	4E5	4F2	4B6	4C5	474
4A3	BFD	B3E	BBA	539	4E9	4F6	4B7	4C5	474
4A6	BFD	B3A	BB9	53D	4ED	4FA	4B7	4C5	474
4AD	BFD	B38	BB9	544	4F4	501	4B7	4C5	474
4B2	BFD	B33	BB9	549	4F9	506	4B7	4C6	474
4BD	BFD	B2C	BB8	554	504	510	4B8	4C6	474
4D2	BFD	B39	BB8	56A	519	526	4B8	4C7	474
C88	BFD	B3C	BB8	D09	CB6	CC1	4B9	4C7	474
D0D	BFE	B32	BB8	DA7	D56	D61	4BA	4C8	474
CC5	BFF	B33	BB8	D5F	D0E	D19	4BB	4C9	474
CAB	BFF	B2C	BB7	D45	CF3	CFE	4BC	4CA	474
C99	C00	B36	BB8	D34	CE2	CEB	4BD	4CB	474
C8B	C01	B33	BB8	D27	CD4	CDD	4BE	4CD	475
C80	C03	B36	BB8	D1C	CC9	CD2	4BF	4CE	475
C77	C04	B3A	BB8	D13	CC0	CC8	4C1	4D0	475
C6F	C05	B35	BB8	D0C	CB8	CBF	4C2	4D1	475
C64	C08	B35	BB8	D02	CAD	CB3	4C5	4D4	475
C58	C0C	B34	BB8	CF7	CA1	CA5	4C9	4D8	476
C4E	C10	B33	BB9	CEF	C97	C98	4CD	4DD	476
C45	C16	B34	BB9	CE8	C8E	C8C	4D3	4E3	476
