CROSS-SPECTRA B 10

Header:
Packet Version Number: 0000 = 0 = 0000
Packet Type: 0000 = 0 = 0000
Secondary Header Flag: 0001 = 1 = 0001
App ID: 001010110101 = 693 = 02B5
Sequence Flags: 0011 = 3 = 0003
Sequence Count: 0000000000001001 = 9 = 0009
Packet Data Length: 0000001111111001 = 1017 = 03F9
Coarse Time: 11000000111111111110111000001101 = 3237998093
Fine_Time: 0000010100100111 = 1319 = 0527

HEX
(B1)	(B2)	(B3)	(B4)	(B5)	(B6)	(B7)	(B8)	(B9)	(B10)
CE5	CC9	C7A	C88	4B2	45F	471	BD3	308	392
DC7	DAB	D5B	D69	4C6	473	485	BE0	AE5	39E
DE7	DCA	D7B	D89	4D4	481	492	BEC	B35	3AA
DC7	DAA	D5A	D68	4DF	48C	49E	BF7	B45	3B4
4FC	4DE	48E	49C	4E8	495	4A7	BFE	B43	3BC
4E3	4C3	473	481	4F1	49E	4AF	C06	B59	3C3
4DB	4BA	46A	478	4F8	4A5	4B7	C0D	B6A	3CA
4D2	4B0	460	46E	500	4AD	4BE	C13	B61	3D0
4CE	4AA	45A	468	506	4B3	4C4	C19	B60	3D6
4C9	4A3	453	461	50E	4BA	4CC	C1C	B77	3D9
4C7	49F	44E	45C	514	4C0	4D2	C20	B6A	3DD
4C5	49A	449	457	51B	4C8	4D9	C25	B53	3E2
4C5	496	445	453	522	4CE	4DF	C28	B6E	3E5
4C5	492	441	44F	52A	4D6	4E7	C2B	B74	3E8
4C6	48F	43E	44C	531	4DC	4EE	C2E	B6B	3EB
4C9	48C	43B	449	53B	4E6	4F8	C32	B6B	3EE
4CC	48A	438	446	543	4EE	4FF	C35	B79	3F1
4D4	487	435	443	551	4FC	50D	C39	B85	3F4
4E5	484	432	440	56B	515	527	C3B	B7C	3F7
C6C	480	42D	43B	D2F	CDA	CE9	C40	B7F	3FB
D19	47D	429	437	DAF	D58	D6A	C46	B8A	3FF
CCE	47A	425	433	D6D	D14	D26	C4A	B8D	403
CB0	477	422	430	D56	CFD	D0F	C4F	B97	407
C9A	475	41E	42D	D49	CEF	D01	C53	B91	40A
C8A	473	41B	42A	D40	CE5	CF6	C57	B96	40D
C7C	471	418	427	D39	CDC	CEE	C5B	BA4	410
C70	470	416	425	D33	CD6	CE8	C5F	B9D	413
C65	46F	413	422	D2F	CD0	CE2	C63	B99	415
C58	46E	410	41F	D2B	CC9	CDB	C69	BB0	419
C47	46E	40C	41B	D27	CC2	CD4	C71	BB8	41E
C39	46E	408	417	D25	CBB	CCE	C7A	BC0	422
C2C	470	405	414	D25	CB6	CC8	C83	BC9	426
C21	474	402	411	D27	CB1	CC4	C8E	BD4	42A
C16	479	3FF	40E	D2B	CAD	CC0	C9A	BDE	42E
C0D	482	3FC	40B	D33	CAA	CBD	CA8	BF0	431
C04	490	3F9	409	D40	CA7	CB9	CBC	C01	434
BFB	4AB	3F7	406	D5B	CA4	CB7	CDD	C24	438
BF0	C66	3F4	404	51F	CA0	CB3	4B7	3FA	43C
BE2	C7F	3F0	400	52E	C9B	CAF	4C1	409	443
BD4	C59	3EC	3FD	508	C97	CAB	4A5	3E9	449
BC9	C42	3EA	3FB	4EF	C94	CA9	495	3DA	44E
BBE	C2F	3E7	3F9	4DD	C91	CA6	48B	3D2	454
BB4	C20	3E4	3F7	4CD	C8E	CA4	483	3CA	45A
BAB	C13	3E2	3F6	4C0	C8C	CA3	47D	3C5	45F
BA2	C07	3E0	3F5	4B4	C8A	CA2	478	3C2	465
B9A	BFD	3DF	3F5	4AA	C88	CA1	474	3BE	46B
B93	BF3	3DD	3F5	4A0	C87	CA1	470	3BC	471
B88	BE7	3DC	3F6	493	C85	CA2	46D	3BA	47B
B7A	BD8	3DB	3F8	483	C83	CA4	469	3BA	48A
B6F	BCA	3DA	3FE	476	C83	CA9	467	3BE	49A
B63	BBD	3DA	406	469	C83	CB2	466	3C6	4AE
B59	BB2	3DC	415	45E	C84	CC1	466	3D4	4C9
B4E	BA8	3DE	438	453	C86	CE3	467	3F5	4F8
B45	B9E	3E1	BF5	449	C89	4AB	46A	B81	CDE
B3D	B95	3E7	C24	440	C8F	4CF	46F	BE0	CFC
B33	B8C	3EE	BFF	437	C96	4AA	476	BBB	CE8
B28	B7F	405	BE0	42B	CAD	48B	48D	B9B	CEB
B90	BF0	3DD	3F5	49C	C86	CA1	46F	3BA	474
B85	BE3	3DC	3F7	48F	C84	CA2	46B	3B9	47E
B81	BDC	3DA	3F6	489	C84	CA3	46A	3B9	484
B77	BD5	3DA	3F9	481	C83	CA5	468	3BA	48C
B72	BD2	3DB	3FC	47C	C83	CA6	467	3BC	491
B6F	BCC	3DA	3FD	477	C83	CA8	467	3BD	497
B6E	BC9	3DB	3FE	475	C82	CA9	466	3BE	49B
B28	B7D	406	BDB	429	CAE	486	48D	B96	CEA
B8D	BF1	3D2	3E8	49D	C7B	C94	467	3B0	45E
B21	B7E	3E2	BEE	429	C8A	499	46A	BAA	CD9


INT
(B1)	(B2)	(B3)	(B4)	(B5)	(B6)	(B7)	(B8)	(B9)	(B10)
3301	3273	3194	3208	1202	1119	1137	3027	776	914
3527	3499	3419	3433	1222	1139	1157	3040	2789	926
3559	3530	3451	3465	1236	1153	1170	3052	2869	938
3527	3498	3418	3432	1247	1164	1182	3063	2885	948
1276	1246	1166	1180	1256	1173	1191	3070	2883	956
1251	1219	1139	1153	1265	1182	1199	3078	2905	963
1243	1210	1130	1144	1272	1189	1207	3085	2922	970
1234	1200	1120	1134	1280	1197	1214	3091	2913	976
1230	1194	1114	1128	1286	1203	1220	3097	2912	982
1225	1187	1107	1121	1294	1210	1228	3100	2935	985
1223	1183	1102	1116	1300	1216	1234	3104	2922	989
1221	1178	1097	1111	1307	1224	1241	3109	2899	994
1221	1174	1093	1107	1314	1230	1247	3112	2926	997
1221	1170	1089	1103	1322	1238	1255	3115	2932	1000
1222	1167	1086	1100	1329	1244	1262	3118	2923	1003
1225	1164	1083	1097	1339	1254	1272	3122	2923	1006
1228	1162	1080	1094	1347	1262	1279	3125	2937	1009
1236	1159	1077	1091	1361	1276	1293	3129	2949	1012
1253	1156	1074	1088	1387	1301	1319	3131	2940	1015
3180	1152	1069	1083	3375	3290	3305	3136	2943	1019
3353	1149	1065	1079	3503	3416	3434	3142	2954	1023
3278	1146	1061	1075	3437	3348	3366	3146	2957	1027
3248	1143	1058	1072	3414	3325	3343	3151	2967	1031
3226	1141	1054	1069	3401	3311	3329	3155	2961	1034
3210	1139	1051	1066	3392	3301	3318	3159	2966	1037
3196	1137	1048	1063	3385	3292	3310	3163	2980	1040
3184	1136	1046	1061	3379	3286	3304	3167	2973	1043
3173	1135	1043	1058	3375	3280	3298	3171	2969	1045
3160	1134	1040	1055	3371	3273	3291	3177	2992	1049
3143	1134	1036	1051	3367	3266	3284	3185	3000	1054
3129	1134	1032	1047	3365	3259	3278	3194	3008	1058
3116	1136	1029	1044	3365	3254	3272	3203	3017	1062
3105	1140	1026	1041	3367	3249	3268	3214	3028	1066
3094	1145	1023	1038	3371	3245	3264	3226	3038	1070
3085	1154	1020	1035	3379	3242	3261	3240	3056	1073
3076	1168	1017	1033	3392	3239	3257	3260	3073	1076
3067	1195	1015	1030	3419	3236	3255	3293	3108	1080
3056	3174	1012	1028	1311	3232	3251	1207	1018	1084
3042	3199	1008	1024	1326	3227	3247	1217	1033	1091
3028	3161	1004	1021	1288	3223	3243	1189	1001	1097
3017	3138	1002	1019	1263	3220	3241	1173	986	1102
3006	3119	999	1017	1245	3217	3238	1163	978	1108
2996	3104	996	1015	1229	3214	3236	1155	970	1114
2987	3091	994	1014	1216	3212	3235	1149	965	1119
2978	3079	992	1013	1204	3210	3234	1144	962	1125
2970	3069	991	1013	1194	3208	3233	1140	958	1131
2963	3059	989	1013	1184	3207	3233	1136	956	1137
2952	3047	988	1014	1171	3205	3234	1133	954	1147
2938	3032	987	1016	1155	3203	3236	1129	954	1162
2927	3018	986	1022	1142	3203	3241	1127	958	1178
2915	3005	986	1030	1129	3203	3250	1126	966	1198
2905	2994	988	1045	1118	3204	3265	1126	980	1225
2894	2984	990	1080	1107	3206	3299	1127	1013	1272
2885	2974	993	3061	1097	3209	1195	1130	2945	3294
2877	2965	999	3108	1088	3215	1231	1135	3040	3324
2867	2956	1006	3071	1079	3222	1194	1142	3003	3304
2856	2943	1029	3040	1067	3245	1163	1165	2971	3307
2960	3056	989	1013	1180	3206	3233	1135	954	1140
2949	3043	988	1015	1167	3204	3234	1131	953	1150
2945	3036	986	1014	1161	3204	3235	1130	953	1156
2935	3029	986	1017	1153	3203	3237	1128	954	1164
2930	3026	987	1020	1148	3203	3238	1127	956	1169
2927	3020	986	1021	1143	3203	3240	1127	957	1175
2926	3017	987	1022	1141	3202	3241	1126	958	1179
2856	2941	1030	3035	1065	3246	1158	1165	2966	3306
2957	3057	978	1000	1181	3195	3220	1127	944	1118
2849	2942	994	3054	1065	3210	1177	1130	2986	3289
