SPECTRA 
Channal Frequency 
0 -> 512hz
1 -> 03khz
2 -> 10khz
3 -> 24khz
4 -> 33khz
HEX
(0)	(1)	(2)	(3)	(4)
0901	0a78	0a08	08cb	0903
0ddf	0a7b	0a09	08cb	0903
0e5f	0a7e	0a09	08cb	0903
0ddf	0a83	0a09	08cb	0903
0952	0a88	0a09	08cb	0903
08e6	0a8e	0a0a	08cb	0903
08c2	0a95	0a0a	08cb	0903
0897	0a9f	0a0b	08cb	0903
087f	0aa7	0a0b	08cb	0903
0864	0ab4	0a0c	08cb	0903
0851	0abf	0a0d	08cb	0903
083d	0acf	0a0e	08cb	0904
082e	0ade	0a0e	08cb	0904
081e	0af4	0a0f	08cb	0904
0811	0b06	0a10	08cb	0904
0804	0b25	0a11	08cb	0904
07f8	0b3e	0a13	08cb	0904
07ec	0b70	0a14	08cb	0904
07de	0bef	0a16	08cb	0904
07cc	0e0b	0a19	08cb	0905
07bb	0dfc	0a1c	08cc	0905
07ac	0bcf	0a1f	08cc	0905
079e	0b4c	0a23	08cc	0906
0791	0b09	0a27	08cc	0906
0785	0ada	0a2c	08cc	0907
0779	0ab4	0a31	08cc	0907
076e	0a96	0a37	08cd	0908
0764	0a7c	0a3d	08cd	0908
0756	0a5b	0a47	08cd	0909
0745	0a37	0a56	08ce	090a
0736	0a1a	0a69	08ce	090c
0727	0a01	0a7f	08cf	090d
071a	09eb	0a9b	08cf	090f
070d	09d8	0abe	08d0	0910
0702	09c7	0aed	08d1	0912
06f7	09b8	0b32	08d2	0914
06ec	09aa	0bb1	08d2	0916
06df	0997	0dc4	08d4	091a
06ce	0981	0b1f	08d6	091f
06bd	096d	0a96	08d8	0924
06af	095c	0a45	08da	092a
06a1	094d	0a0b	08dd	0931
0695	093f	09dc	08e0	0939
068a	0932	09b5	08e3	0941
067f	0926	0993	08e7	094b
0674	091b	0975	08ea	0955
066c	0911	095b	08ee	0960
0660	0903	0938	08f5	0974
0650	08f2	0910	08ff	0993
0642	08e3	08ed	090b	09bc
0634	08d6	08cf	0919	09f2
062a	08ca	08b4	0929	0a42
0620	08c0	089c	093c	0ae8
0617	08b6	0887	0954	0d84
0610	08ad	0874	0972	0ab4
0606	08a5	0863	0999	0a2e
05fc	089b	084d	0a07	09cf
0667	090d	0951	08f0	0965
065d	08fe	092c	08f7	097b
0654	08f8	091d	08fb	0986
064c	08ef	0908	0901	0999
064b	08ea	08fd	0904	09a5
0644	08e5	08f0	0909	09b5
0642	08e2	08ea	090b	09bd
05fc	089a	084a	0a01	09bf
065b	0901	095c	08d0	093a
05eb	088a	0847	0981	0a06
0901	0a78	0a08	08cb	0903
0ddf	0a7b	0a09	08cb	0903
0e5f	0a7e	0a09	08cb	0903
0ddf	0a83	0a09	08cb	0903
0952	0a88	0a09	08cb	0903
08e6	0a8e	0a0a	08cb	0903
08c2	0a95	0a0a	08cb	0903
0897	0a9f	0a0b	08cb	0903
087f	0aa7	0a0b	08cb	0903
0864	0ab4	0a0c	08cb	0903
0851	0abf	0a0d	08cb	0903
083d	0acf	0a0e	08cb	0904
082e	0ade	0a0e	08cb	0904
081e	0af4	0a0f	08cb	0904
0811	0b06	0a10	08cb	0904
0804	0b25	0a11	08cb	0904
07f8	0b3e	0a13	08cb	0904
07ec	0b70	0a14	08cb	0904
07de	0bef	0a16	08cb	0904
07cc	0e0b	0a19	08cb	0905
07bb	0dfc	0a1c	08cc	0905
07ac	0bcf	0a1f	08cc	0905
079e	0b4c	0a23	08cc	0906
0791	0b09	0a27	08cc	0906
0785	0ada	0a2c	08cc	0907
0779	0ab4	0a31	08cc	0907
076e	0a96	0a37	08cd	0908
0764	0a7c	0a3d	08cd	0908
0756	0a5b	0a47	08cd	0909
0745	0a37	0a56	08ce	090a
0736	0a1a	0a69	08ce	090c
0727	0a01	0a7f	08cf	090d
071a	09eb	0a9b	08cf	090f
070d	09d8	0abe	08d0	0910
0702	09c7	0aed	08d1	0912
06f7	09b8	0b32	08d2	0914
06ec	09aa	0bb1	08d2	0916
06df	0997	0dc4	08d4	091a
06ce	0981	0b1f	08d6	091f
06bd	096d	0a96	08d8	0924
06af	095c	0a45	08da	092a
06a1	094d	0a0b	08dd	0931
0695	093f	09dc	08e0	0939
068a	0932	09b5	08e3	0941
067f	0926	0993	08e7	094b
0674	091b	0975	08ea	0955
066c	0911	095b	08ee	0960
0660	0903	0938	08f5	0974
0650	08f2	0910	08ff	0993
0642	08e3	08ed	090b	09bc
0634	08d6	08cf	0919	09f2
062a	08ca	08b4	0929	0a42
0620	08c0	089c	093c	0ae8
0617	08b6	0887	0954	0d84
0610	08ad	0874	0972	0ab4
0606	08a5	0863	0999	0a2e
05fc	089b	084d	0a07	09cf
0667	090d	0951	08f0	0965
065d	08fe	092c	08f7	097b
0654	08f8	091d	08fb	0986
064c	08ef	0908	0901	0999
064b	08ea	08fd	0904	09a5
0644	08e5	08f0	0909	09b5
0642	08e2	08ea	090b	09bd
05fc	089a	084a	0a01	09bf
065b	0901	095c	08d0	093a
05eb	088a	0847	0981	0a06
090f	0a87	0a17	08d9	0911
0ddf	0a89	0a17	08d9	0911
0e5f	0a8c	0a17	08d9	0911
0ddf	0a91	0a17	08d9	0911
0961	0a96	0a18	08d9	0911
08f4	0a9d	0a18	08d9	0911
08d0	0aa3	0a18	08d9	0911
08a5	0aad	0a19	08d9	0911
088d	0ab6	0a1a	08d9	0912
0872	0ac2	0a1a	08d9	0912
085f	0acd	0a1b	08d9	0912
084b	0ade	0a1c	08d9	0912
083c	0aec	0a1d	08d9	0912
082c	0b02	0a1e	08d9	0912
081f	0b15	0a1f	08d9	0912
0812	0b33	0a20	08d9	0912
0806	0b4c	0a21	08d9	0912
07fa	0b7d	0a22	08d9	0913
07ec	0bf9	0a24	08da	0913
07da	0e0a	0a27	08da	0913
07c9	0dfc	0a2a	08da	0913
07ba	0bd9	0a2d	08da	0914
07ac	0b5a	0a31	08da	0914
079f	0b17	0a36	08da	0914
0793	0ae8	0a3a	08da	0915
0787	0ac3	0a3f	08db	0915
077d	0aa4	0a45	08db	0916
0773	0a8a	0a4b	08db	0916
0764	0a6a	0a55	08db	0917
0754	0a46	0a64	08dc	0918
0744	0a28	0a77	08dd	091a
0735	0a0f	0a8e	08dd	091b
0729	09f9	0aa9	08de	091d
071c	09e6	0acd	08de	091e
0710	09d5	0afc	08df	0920
