SPECTRA 
Channal Frequency 
0 -> 512hz
1 -> 03khz
2 -> 10khz
3 -> 24khz
4 -> 33khz
HEX
(0)	(1)	(2)	(3)	(4)
08c5	07e5	09bf	0781	07ce
08c5	07e5	09bf	0781	07ce
08c5	07e5	09bf	0781	07ce
08c5	07e5	09c0	0780	07cf
08c5	07e5	09c0	0780	07ce
08c5	07e5	09c1	0780	07cf
08c5	07e5	09c1	0780	07cf
08c5	07e5	09c2	0780	07cf
08c5	07e5	09c3	0780	07cf
08c5	07e5	09c3	0781	07d0
08c5	07e5	09c4	0780	07d0
08c5	07e5	09c5	0780	07d0
08c5	07e5	09c6	0781	07d0
08c5	07e5	09c7	0781	07d1
08c5	07e5	09c8	0780	07d1
08c5	07e5	09ca	0780	07d2
08c5	07e5	09cb	0780	07d2
08c5	07e5	09cc	0780	07d3
08c6	07e5	09cf	0781	07d3
08c6	07e5	09d2	0780	07d4
08c6	07e5	09d6	0780	07d5
08c6	07e6	09da	0781	07d6
08c7	07e6	09df	0781	07d8
08c7	07e6	09e4	0781	07d9
08c7	07e6	09ea	0782	07da
08c8	07e6	09f0	0782	07dc
08c8	07e6	09f7	0783	07de
08c8	07e6	09fe	0782	07df
08c9	07e6	0a0b	0782	07e2
08ca	07e7	0a20	0783	07e5
08cb	07e7	0a39	0784	07e9
08cc	07e8	0a59	0784	07ee
08cd	07e8	0a83	0785	07f2
08ce	07e8	0abf	0785	07f7
08d0	07e9	0b29	0786	07fc
08d1	07e9	0def	0787	0801
08d2	07ea	0da7	0788	0806
08d5	07eb	0ade	0789	080e
08d9	07ec	0a41	078b	0819
08dd	07ed	09ea	078d	0825
08e1	07ef	09ab	0790	0832
08e7	07f0	0979	0793	083f
08ec	07f2	094f	0796	084c
08f3	07f4	092a	0799	085a
08f9	07f6	090a	079d	0869
0901	07f8	08ec	07a0	0878
090a	07fa	08d2	07a4	0888
0919	07fe	08ae	07ab	08a1
0931	0803	0883	07b5	08c6
094f	0809	085c	07c1	08f0
0978	0810	0839	07cf	0921
09b3	0817	0819	07e0	095e
0a18	081f	07fb	07f4	09b2
0d92	0828	07df	080c	0a44
0b2e	0832	07c4	082a	0d92
09e5	083d	07ab	0852	0a7c
0961	0850	0787	08c2	09c4
090d	07fb	08c8	07a6	088e
091e	07ff	08a2	07ad	08a9
0926	0801	0891	07b1	08b7
0935	0804	087a	07b7	08cd
093e	0806	086e	07bb	08d9
094a	0808	0860	07bf	08e9
0950	0809	0859	07c2	08f2
0949	0852	0782	08bb	09a9
08e6	07dd	08d3	0786	085c
09b5	0823	078e	083a	0a31
08c5	07e5	09bf	0781	07ce
08c5	07e5	09bf	0781	07ce
08c5	07e5	09bf	0781	07ce
08c5	07e5	09c0	0780	07cf
08c5	07e5	09c0	0780	07ce
08c5	07e5	09c1	0780	07cf
08c5	07e5	09c1	0780	07cf
08c5	07e5	09c2	0780	07cf
08c5	07e5	09c3	0780	07cf
08c5	07e5	09c3	0781	07d0
08c5	07e5	09c4	0780	07d0
08c5	07e5	09c5	0780	07d0
08c5	07e5	09c6	0781	07d0
08c5	07e5	09c7	0781	07d1
08c5	07e5	09c8	0780	07d1
08c5	07e5	09ca	0780	07d2
08c5	07e5	09cb	0780	07d2
08c5	07e5	09cc	0780	07d3
08c6	07e5	09cf	0781	07d3
08c6	07e5	09d2	0780	07d4
08c6	07e5	09d6	0780	07d5
08c6	07e6	09da	0781	07d6
08c7	07e6	09df	0781	07d8
08c7	07e6	09e4	0781	07d9
08c7	07e6	09ea	0782	07da
08c8	07e6	09f0	0782	07dc
08c8	07e6	09f7	0783	07de
08c8	07e6	09fe	0782	07df
08c9	07e6	0a0b	0782	07e2
08ca	07e7	0a20	0783	07e5
08cb	07e7	0a39	0784	07e9
08cc	07e8	0a59	0784	07ee
08cd	07e8	0a83	0785	07f2
08ce	07e8	0abf	0785	07f7
08d0	07e9	0b29	0786	07fc
08d1	07e9	0def	0787	0801
08d2	07ea	0da7	0788	0806
08d5	07eb	0ade	0789	080e
08d9	07ec	0a41	078b	0819
08dd	07ed	09ea	078d	0825
08e1	07ef	09ab	0790	0832
08e7	07f0	0979	0793	083f
08ec	07f2	094f	0796	084c
08f3	07f4	092a	0799	085a
08f9	07f6	090a	079d	0869
0901	07f8	08ec	07a0	0878
090a	07fa	08d2	07a4	0888
0919	07fe	08ae	07ab	08a1
0931	0803	0883	07b5	08c6
094f	0809	085c	07c1	08f0
0978	0810	0839	07cf	0921
09b3	0817	0819	07e0	095e
0a18	081f	07fb	07f4	09b2
0d92	0828	07df	080c	0a44
0b2e	0832	07c4	082a	0d92
09e5	083d	07ab	0852	0a7c
0961	0850	0787	08c2	09c4
090d	07fb	08c8	07a6	088e
091e	07ff	08a2	07ad	08a9
0926	0801	0891	07b1	08b7
0935	0804	087a	07b7	08cd
093e	0806	086e	07bb	08d9
094a	0808	0860	07bf	08e9
0950	0809	0859	07c2	08f2
0949	0852	0782	08bb	09a9
08e6	07dd	08d3	0786	085c
09b5	0823	078e	083a	0a31
08c5	07e5	09bf	0781	07ce
08c5	07e5	09bf	0781	07ce
08c5	07e5	09bf	0781	07ce
08c5	07e5	09c0	0780	07cf
08c5	07e5	09c0	0780	07ce
08c5	07e5	09c1	0780	07cf
08c5	07e5	09c1	0780	07cf
08c5	07e5	09c2	0780	07cf
08c5	07e5	09c3	0780	07cf
08c5	07e5	09c3	0781	07d0
08c5	07e5	09c4	0780	07d0
08c5	07e5	09c5	0780	07d0
08c5	07e5	09c6	0781	07d0
08c5	07e5	09c7	0781	07d1
08c5	07e5	09c8	0780	07d1
08c5	07e5	09ca	0780	07d2
08c5	07e5	09cb	0780	07d2
08c5	07e5	09cc	0780	07d3
08c6	07e5	09cf	0781	07d3
08c6	07e5	09d2	0780	07d4
08c6	07e5	09d6	0780	07d5
08c6	07e6	09da	0781	07d6
08c7	07e6	09df	0781	07d8
08c7	07e6	09e4	0781	07d9
08c7	07e6	09ea	0782	07da
08c8	07e6	09f0	0782	07dc
08c8	07e6	09f7	0783	07de
08c8	07e6	09fe	0782	07df
08c9	07e6	0a0b	0782	07e2
08ca	07e7	0a20	0783	07e5
08cb	07e7	0a39	0784	07e9
08cc	07e8	0a59	0784	07ee
08cd	07e8	0a83	0785	07f2
08ce	07e8	0abf	0785	07f7
08d0	07e9	0b29	0786	07fc
08d1	07e9	0def	0787	0801
08d2	07ea	0da7	0788	0806
08d5	07eb	0ade	0789	080e
08d9	07ec	0a41	078b	0819
08dd	07ed	09ea	078d	0825
08e1	07ef	09ab	0790	0832
08e7	07f0	0979	0793	083f
08ec	07f2	094f	0796	084c
08f3	07f4	092a	0799	085a
08f9	07f6	090a	079d	0869
0901	07f8	08ec	07a0	0878
090a	07fa	08d2	07a4	0888
0919	07fe	08ae	07ab	08a1
0931	0803	0883	07b5	08c6
094f	0809	085c	07c1	08f0
0978	0810	0839	07cf	0921
09b3	0817	0819	07e0	095e
0a18	081f	07fb	07f4	09b2
0d92	0828	07df	080c	0a44
0b2e	0832	07c4	082a	0d92
09e5	083d	07ab	0852	0a7c
0961	0850	0787	08c2	09c4
090d	07fb	08c8	07a6	088e
091e	07ff	08a2	07ad	08a9
0926	0801	0891	07b1	08b7
0935	0804	087a	07b7	08cd
093e	0806	086e	07bb	08d9
094a	0808	0860	07bf	08e9
0950	0809	0859	07c2	08f2
0949	0852	0782	08bb	09a9
08e6	07dd	08d3	0786	085c
09b5	0823	078e	083a	0a31
08c5	07e5	09bf	0781	07ce
08c5	07e5	09bf	0781	07ce
08c5	07e5	09bf	0781	07ce
08c5	07e5	09c0	0780	07cf
08c5	07e5	09c0	0780	07ce
08c5	07e5	09c1	0780	07cf
08c5	07e5	09c1	0780	07cf
08c5	07e5	09c2	0780	07cf
08c5	07e5	09c3	0780	07cf
08c5	07e5	09c3	0781	07d0
08c5	07e5	09c4	0780	07d0
08c5	07e5	09c5	0780	07d0
08c5	07e5	09c6	0781	07d0
08c5	07e5	09c7	0781	07d1
08c5	07e5	09c8	0780	07d1
08c5	07e5	09ca	0780	07d2
08c5	07e5	09cb	0780	07d2
08c5	07e5	09cc	0780	07d3
08c6	07e5	09cf	0781	07d3
08c6	07e5	09d2	0780	07d4
08c6	07e5	09d6	0780	07d5
08c6	07e6	09da	0781	07d6
08c7	07e6	09df	0781	07d8
08c7	07e6	09e4	0781	07d9
08c7	07e6	09ea	0782	07da
08c8	07e6	09f0	0782	07dc
08c8	07e6	09f7	0783	07de
08c8	07e6	09fe	0782	07df
08c9	07e6	0a0b	0782	07e2
08ca	07e7	0a20	0783	07e5
08cb	07e7	0a39	0784	07e9
08cc	07e8	0a59	0784	07ee
08cd	07e8	0a83	0785	07f2
08ce	07e8	0abf	0785	07f7
08d0	07e9	0b29	0786	07fc
08d1	07e9	0def	0787	0801
08d2	07ea	0da7	0788	0806
08d5	07eb	0ade	0789	080e
08d9	07ec	0a41	078b	0819
08dd	07ed	09ea	078d	0825
08e1	07ef	09ab	0790	0832
08e7	07f0	0979	0793	083f
08ec	07f2	094f	0796	084c
08f3	07f4	092a	0799	085a
08f9	07f6	090a	079d	0869
0901	07f8	08ec	07a0	0878
090a	07fa	08d2	07a4	0888
0919	07fe	08ae	07ab	08a1
0931	0803	0883	07b5	08c6
094f	0809	085c	07c1	08f0
0978	0810	0839	07cf	0921
09b3	0817	0819	07e0	095e
0a18	081f	07fb	07f4	09b2
0d92	0828	07df	080c	0a44
0b2e	0832	07c4	082a	0d92
09e5	083d	07ab	0852	0a7c
0961	0850	0787	08c2	09c4
090d	07fb	08c8	07a6	088e
091e	07ff	08a2	07ad	08a9
0926	0801	0891	07b1	08b7
0935	0804	087a	07b7	08cd
093e	0806	086e	07bb	08d9
094a	0808	0860	07bf	08e9
0950	0809	0859	07c2	08f2
0949	0852	0782	08bb	09a9
08e6	07dd	08d3	0786	085c
09b5	0823	078e	083a	0a31
08c5	07e5	09bf	0781	07ce
08c5	07e5	09bf	0781	07ce
08c5	07e5	09bf	0781	07ce
08c5	07e5	09c0	0780	07cf
08c5	07e5	09c0	0780	07ce
08c5	07e5	09c1	0780	07cf
08c5	07e5	09c1	0780	07cf
08c5	07e5	09c2	0780	07cf
08c5	07e5	09c3	0780	07cf
08c5	07e5	09c3	0781	07d0
08c5	07e5	09c4	0780	07d0
08c5	07e5	09c5	0780	07d0
08c5	07e5	09c6	0781	07d0
08c5	07e5	09c7	0781	07d1
08c5	07e5	09c8	0780	07d1
08c5	07e5	09ca	0780	07d2
08c5	07e5	09cb	0780	07d2
08c5	07e5	09cc	0780	07d3
08c6	07e5	09cf	0781	07d3
08c6	07e5	09d2	0780	07d4
08c6	07e5	09d6	0780	07d5
08c6	07e6	09da	0781	07d6
08c7	07e6	09df	0781	07d8
08c7	07e6	09e4	0781	07d9
08c7	07e6	09ea	0782	07da
08c8	07e6	09f0	0782	07dc
08c8	07e6	09f7	0783	07de
08c8	07e6	09fe	0782	07df
08c9	07e6	0a0b	0782	07e2
08ca	07e7	0a20	0783	07e5
08cb	07e7	0a39	0784	07e9
08cc	07e8	0a59	0784	07ee
08cd	07e8	0a83	0785	07f2
08ce	07e8	0abf	0785	07f7
08d0	07e9	0b29	0786	07fc
08d1	07e9	0def	0787	0801
08d2	07ea	0da7	0788	0806
08d5	07eb	0ade	0789	080e
08d9	07ec	0a41	078b	0819
08dd	07ed	09ea	078d	0825
08e1	07ef	09ab	0790	0832
08e7	07f0	0979	0793	083f
08ec	07f2	094f	0796	084c
08f3	07f4	092a	0799	085a
08f9	07f6	090a	079d	0869
0901	07f8	08ec	07a0	0878
090a	07fa	08d2	07a4	0888
0919	07fe	08ae	07ab	08a1
0931	0803	0883	07b5	08c6
094f	0809	085c	07c1	08f0
0978	0810	0839	07cf	0921
09b3	0817	0819	07e0	095e
0a18	081f	07fb	07f4	09b2
0d92	0828	07df	080c	0a44
0b2e	0832	07c4	082a	0d92
09e5	083d	07ab	0852	0a7c
0961	0850	0787	08c2	09c4
090d	07fb	08c8	07a6	088e
091e	07ff	08a2	07ad	08a9
0926	0801	0891	07b1	08b7
0935	0804	087a	07b7	08cd
093e	0806	086e	07bb	08d9
094a	0808	0860	07bf	08e9
0950	0809	0859	07c2	08f2
0949	0852	0782	08bb	09a9
08e6	07dd	08d3	0786	085c
09b5	0823	078e	083a	0a31
08c5	07e5	09bf	0781	07ce
08c5	07e5	09bf	0781	07ce
08c5	07e5	09bf	0781	07ce
08c5	07e5	09c0	0780	07cf
08c5	07e5	09c0	0780	07ce
08c5	07e5	09c1	0780	07cf
08c5	07e5	09c1	0780	07cf
08c5	07e5	09c2	0780	07cf
08c5	07e5	09c3	0780	07cf
08c5	07e5	09c3	0781	07d0
08c5	07e5	09c4	0780	07d0
08c5	07e5	09c5	0780	07d0
08c5	07e5	09c6	0781	07d0
08c5	07e5	09c7	0781	07d1
08c5	07e5	09c8	0780	07d1
08c5	07e5	09ca	0780	07d2
08c5	07e5	09cb	0780	07d2
08c5	07e5	09cc	0780	07d3
08c6	07e5	09cf	0781	07d3
08c6	07e5	09d2	0780	07d4
08c6	07e5	09d6	0780	07d5
08c6	07e6	09da	0781	07d6
08c7	07e6	09df	0781	07d8
08c7	07e6	09e4	0781	07d9
08c7	07e6	09ea	0782	07da
08c8	07e6	09f0	0782	07dc
08c8	07e6	09f7	0783	07de
08c8	07e6	09fe	0782	07df
08c9	07e6	0a0b	0782	07e2
08ca	07e7	0a20	0783	07e5
08cb	07e7	0a39	0784	07e9
08cc	07e8	0a59	0784	07ee
08cd	07e8	0a83	0785	07f2
08ce	07e8	0abf	0785	07f7
08d0	07e9	0b29	0786	07fc
08d1	07e9	0def	0787	0801
08d2	07ea	0da7	0788	0806
08d5	07eb	0ade	0789	080e
08d9	07ec	0a41	078b	0819
08dd	07ed	09ea	078d	0825
08e1	07ef	09ab	0790	0832
08e7	07f0	0979	0793	083f
08ec	07f2	094f	0796	084c
08f3	07f4	092a	0799	085a
08f9	07f6	090a	079d	0869
0901	07f8	08ec	07a0	0878
090a	07fa	08d2	07a4	0888
0919	07fe	08ae	07ab	08a1
0931	0803	0883	07b5	08c6
094f	0809	085c	07c1	08f0
0978	0810	0839	07cf	0921
09b3	0817	0819	07e0	095e
0a18	081f	07fb	07f4	09b2
0d92	0828	07df	080c	0a44
0b2e	0832	07c4	082a	0d92
09e5	083d	07ab	0852	0a7c
0961	0850	0787	08c2	09c4
090d	07fb	08c8	07a6	088e
091e	07ff	08a2	07ad	08a9
0926	0801	0891	07b1	08b7
0935	0804	087a	07b7	08cd
093e	0806	086e	07bb	08d9
094a	0808	0860	07bf	08e9
0950	0809	0859	07c2	08f2
0949	0852	0782	08bb	09a9
08e6	07dd	08d3	0786	085c
09b5	0823	078e	083a	0a31
08c5	07e5	09bf	0781	07ce
08c5	07e5	09bf	0781	07ce
08c5	07e5	09bf	0781	07ce
08c5	07e5	09c0	0780	07cf
08c5	07e5	09c0	0780	07ce
08c5	07e5	09c1	0780	07cf
08c5	07e5	09c1	0780	07cf
08c5	07e5	09c2	0780	07cf
08c5	07e5	09c3	0780	07cf
08c5	07e5	09c3	0781	07d0
08c5	07e5	09c4	0780	07d0
08c5	07e5	09c5	0780	07d0
08c5	07e5	09c6	0781	07d0
08c5	07e5	09c7	0781	07d1
08c5	07e5	09c8	0780	07d1
08c5	07e5	09ca	0780	07d2
08c5	07e5	09cb	0780	07d2
08c5	07e5	09cc	0780	07d3
08c6	07e5	09cf	0781	07d3
08c6	07e5	09d2	0780	07d4
08c6	07e5	09d6	0780	07d5
08c6	07e6	09da	0781	07d6
08c7	07e6	09df	0781	07d8
08c7	07e6	09e4	0781	07d9
08c7	07e6	09ea	0782	07da
08c8	07e6	09f0	0782	07dc
08c8	07e6	09f7	0783	07de
08c8	07e6	09fe	0782	07df
08c9	07e6	0a0b	0782	07e2
08ca	07e7	0a20	0783	07e5
08cb	07e7	0a39	0784	07e9
08cc	07e8	0a59	0784	07ee
08cd	07e8	0a83	0785	07f2
08ce	07e8	0abf	0785	07f7
08d0	07e9	0b29	0786	07fc
08d1	07e9	0def	0787	0801
08d2	07ea	0da7	0788	0806
08d5	07eb	0ade	0789	080e
08d9	07ec	0a41	078b	0819
08dd	07ed	09ea	078d	0825
08e1	07ef	09ab	0790	0832
08e7	07f0	0979	0793	083f
08ec	07f2	094f	0796	084c
08f3	07f4	092a	0799	085a
08f9	07f6	090a	079d	0869
0901	07f8	08ec	07a0	0878
090a	07fa	08d2	07a4	0888
0919	07fe	08ae	07ab	08a1
0931	0803	0883	07b5	08c6
094f	0809	085c	07c1	08f0
0978	0810	0839	07cf	0921
09b3	0817	0819	07e0	095e
0a18	081f	07fb	07f4	09b2
0d92	0828	07df	080c	0a44
0b2e	0832	07c4	082a	0d92
09e5	083d	07ab	0852	0a7c
0961	0850	0787	08c2	09c4
090d	07fb	08c8	07a6	088e
091e	07ff	08a2	07ad	08a9
0926	0801	0891	07b1	08b7
0935	0804	087a	07b7	08cd
093e	0806	086e	07bb	08d9
094a	0808	0860	07bf	08e9
0950	0809	0859	07c2	08f2
0949	0852	0782	08bb	09a9
08e6	07dd	08d3	0786	085c
09b5	0823	078e	083a	0a31
08c5	07e5	09bf	0781	07ce
08c5	07e5	09bf	0781	07ce
08c5	07e5	09bf	0781	07ce
08c5	07e5	09c0	0780	07cf
08c5	07e5	09c0	0780	07ce
08c5	07e5	09c1	0780	07cf
08c5	07e5	09c1	0780	07cf
08c5	07e5	09c2	0780	07cf
08c5	07e5	09c3	0780	07cf
08c5	07e5	09c3	0781	07d0
08c5	07e5	09c4	0780	07d0
08c5	07e5	09c5	0780	07d0
08c5	07e5	09c6	0781	07d0
08c5	07e5	09c7	0781	07d1
08c5	07e5	09c8	0780	07d1
08c5	07e5	09ca	0780	07d2
08c5	07e5	09cb	0780	07d2
08c5	07e5	09cc	0780	07d3
08c6	07e5	09cf	0781	07d3
08c6	07e5	09d2	0780	07d4
08c6	07e5	09d6	0780	07d5
08c6	07e6	09da	0781	07d6
08c7	07e6	09df	0781	07d8
08c7	07e6	09e4	0781	07d9
08c7	07e6	09ea	0782	07da
08c8	07e6	09f0	0782	07dc
08c8	07e6	09f7	0783	07de
08c8	07e6	09fe	0782	07df
08c9	07e6	0a0b	0782	07e2
08ca	07e7	0a20	0783	07e5
08cb	07e7	0a39	0784	07e9
08cc	07e8	0a59	0784	07ee
08cd	07e8	0a83	0785	07f2
08ce	07e8	0abf	0785	07f7
08d0	07e9	0b29	0786	07fc
08d1	07e9	0def	0787	0801
08d2	07ea	0da7	0788	0806
08d5	07eb	0ade	0789	080e
08d9	07ec	0a41	078b	0819
08dd	07ed	09ea	078d	0825
08e1	07ef	09ab	0790	0832
08e7	07f0	0979	0793	083f
08ec	07f2	094f	0796	084c
08f3	07f4	092a	0799	085a
08f9	07f6	090a	079d	0869
0901	07f8	08ec	07a0	0878
090a	07fa	08d2	07a4	0888
0919	07fe	08ae	07ab	08a1
0931	0803	0883	07b5	08c6
094f	0809	085c	07c1	08f0
0978	0810	0839	07cf	0921
09b3	0817	0819	07e0	095e
0a18	081f	07fb	07f4	09b2
0d92	0828	07df	080c	0a44
0b2e	0832	07c4	082a	0d92
09e5	083d	07ab	0852	0a7c
0961	0850	0787	08c2	09c4
090d	07fb	08c8	07a6	088e
091e	07ff	08a2	07ad	08a9
0926	0801	0891	07b1	08b7
0935	0804	087a	07b7	08cd
093e	0806	086e	07bb	08d9
094a	0808	0860	07bf	08e9
0950	0809	0859	07c2	08f2
0949	0852	0782	08bb	09a9
08e6	07dd	08d3	0786	085c
09b5	0823	078e	083a	0a31
08c5	07e5	09bf	0781	07ce
08c5	07e5	09bf	0781	07ce
08c5	07e5	09bf	0781	07ce
