CROSS-SPECTRA A (Real) 
Channal Frequency 
0 -> 512hz
1 -> 03khz
2 -> 10khz
3 -> 24khz
4 -> 33khz
HEX
(Ar01)	(Ar02)	(Ar03)	(Ar04)	(Ar12)	(Ar13)	(Ar14)	(Ar23)	(Ar24)	(A34)
0c28	0479	0c65	0c3d	0c3d	0429	0401	0c79	0c51	043d
0c28	0479	0c65	0c3d	0c3d	0429	0401	0c7a	0c51	043d
0c28	0479	0c65	0c3d	0c3d	0429	0401	0c7a	0c52	043d
0c28	0479	0c65	0c3d	0c3d	0429	0401	0c7a	0c52	043d
0c28	0479	0c65	0c3d	0c3d	0429	0401	0c7a	0c52	043d
0c28	0479	0c65	0c3d	0c3e	0429	0401	0c7a	0c52	043d
0c28	0479	0c65	0c3d	0c3e	0429	0401	0c7a	0c52	043d
0c28	0479	0c65	0c3d	0c3e	0429	0401	0c7a	0c52	043d
0c28	047a	0c65	0c3d	0c3e	0429	0401	0c7a	0c52	043d
0c28	047a	0c65	0c3d	0c3e	0429	0401	0c7b	0c53	043d
0c28	047a	0c65	0c3d	0c3e	0429	0401	0c7b	0c53	043e
0c28	047a	0c65	0c3d	0c3f	0429	0401	0c7b	0c53	043e
0c28	047b	0c65	0c3d	0c3f	0429	0401	0c7b	0c54	043e
0c28	047b	0c65	0c3d	0c3f	0429	0401	0c7c	0c54	043d
0c29	047b	0c65	0c3d	0c3f	0429	0401	0c7c	0c54	043e
0c28	047c	0c65	0c3d	0c40	0429	0401	0c7c	0c55	043e
0c29	047c	0c65	0c3d	0c40	0429	0401	0c7c	0c55	043e
0c29	047c	0c65	0c3d	0c40	0429	0401	0c7d	0c55	043e
0c29	047d	0c65	0c3d	0c41	0429	0401	0c7d	0c56	043e
0c29	047e	0c65	0c3d	0c42	0429	0401	0c7e	0c57	043e
0c29	047f	0c65	0c3d	0c43	0429	0402	0c7f	0c58	043e
0c29	0480	0c65	0c3d	0c43	0429	0401	0c80	0c59	043e
0c29	0482	0c65	0c3e	0c44	0429	0402	0c82	0c5b	043e
0c29	0483	0c65	0c3e	0c46	042a	0402	0c83	0c5c	043e
0c29	0485	0c66	0c3e	0c47	042a	0402	0c84	0c5e	043e
0c29	0486	0c66	0c3e	0c48	042a	0402	0c86	0c60	043e
0c29	0488	0c66	0c3e	0c4a	042a	0402	0c88	0c62	043f
0c29	048a	0c66	0c3e	0c4c	042a	0402	0c89	0c64	043f
0c2a	048e	0c66	0c3f	0c4f	042a	0402	0c8d	0c68	043f
0c2a	0493	0c67	0c3f	0c54	042a	0403	0c92	0c6d	043f
0c2a	049a	0c67	0c3f	0c5a	042a	0403	0c98	0c74	0440
0c2b	04a2	0c67	0c40	0c61	042b	0403	0ca0	0c7d	0440
0c2b	04ad	0c68	0c41	0c6b	042b	0403	0cab	0c88	0440
0c2b	04bd	0c68	0c41	0c7a	042b	0404	0cba	0c98	0441
0c2c	04d7	0c69	0c42	0c93	042c	0404	0cd3	0cb2	0441
0c2c	0d0c	0c69	0c43	04c6	042c	0405	0508	04e8	0442
0c2d	0d2e	0c6a	0c43	04e8	042c	0405	0529	050a	0442
0c2d	0cc5	0c6b	0c44	047d	042d	0406	04bf	04a1	0443
0c2f	0ca2	0c6c	0c46	0456	042e	0407	049a	047f	0444
0c30	0c8e	0c6e	0c48	043f	042f	0408	0485	046c	0446
0c31	0c81	0c6f	0c4a	042e	042f	0409	0475	045f	0447
0c33	0c77	0c71	0c4d	041f	0431	040a	0469	0455	0449
0c35	0c6e	0c73	0c50	0412	0432	040c	045f	044e	044b
0c37	0c68	0c76	0c53	0406	0433	040e	0456	0448	044d
0c39	0c63	0c78	0c56	03fa	0434	040f	044e	0444	0450
0c3b	0c5f	0c7b	0c5a	03ee	0436	0411	0447	0440	0452
0c3d	0c5b	0c7e	0c5e	03e1	0437	0414	0440	043e	0455
0c42	0c58	0c83	0c65	03cd	043a	0417	0437	043b	045a
0c49	0c56	0c8c	0c70	03a4	043e	041d	042d	043b	0461
0c51	0c58	0c96	0c7e	0b41	0443	0424	0423	043d	046a
0c5c	0c5d	0ca3	0c91	0ba7	0448	042d	041a	0441	0476
0c6c	0c67	0cb6	0cab	0bc3	044e	0439	0412	044a	0485
0c86	0c7c	0cd3	0cd5	0bd3	0455	044a	0409	0459	049a
04c9	04ba	051d	0551	0be0	045d	0469	03ff	0477	04be
04ba	04ab	0510	0d75	0bea	0467	0cdb	03f3	0ce8	0d37
047d	046a	04da	0cf1	0bf4	0474	0c70	03df	0c7d	0cd2
045d	0449	04cf	0c9d	0c02	0494	0c3c	0bc4	0c4c	0cb6
0c3e	0c5a	0c7f	0c5f	03dd	0438	0414	043e	043d	0456
0c43	0c57	0c85	0c67	03c4	043b	0419	0434	043b	045b
0c46	0c57	0c88	0c6b	03b6	043c	041b	0430	043a	045e
0c4a	0c56	0c8d	0c72	0396	043f	041e	042b	043b	0463
0c4d	0c57	0c90	0c76	037b	0440	0420	0428	043b	0465
0c50	0c57	0c94	0c7c	0a22	0442	0423	0424	043c	0469
0c52	0c58	0c96	0c7f	0b58	0443	0425	0423	043d	046b
