CROSS-SPECTRA A (Real) 
Channal Frequency 
0 -> 512hz
1 -> 03khz
2 -> 10khz
3 -> 24khz
4 -> 33khz
HEX
(Ar01)	(Ar02)	(Ar03)	(Ar04)	(Ar12)	(Ar13)	(Ar14)	(Ar23)	(Ar24)	(A34)
042a	04a1	0c11	0c25	0469	0bd9	0bed	0c50	0c63	03d4
042a	04a1	0c11	0c25	0469	0bd9	0bed	0c50	0c63	03d4
042a	04a1	0c11	0c25	0469	0bd9	0bed	0c50	0c63	03d4
042a	04a1	0c11	0c25	0469	0bd9	0bed	0c50	0c64	03d4
042a	04a1	0c11	0c25	0469	0bd9	0bed	0c50	0c64	03d3
042a	04a1	0c11	0c25	0469	0bd9	0bed	0c50	0c64	03d4
042a	04a1	0c11	0c25	046a	0bd9	0bed	0c50	0c64	03d4
042a	04a2	0c11	0c25	046a	0bd9	0bed	0c50	0c64	03d4
042b	04a2	0c11	0c25	046a	0bd9	0bed	0c51	0c64	03d4
042b	04a2	0c11	0c25	046a	0bd9	0bed	0c51	0c64	03d4
042b	04a2	0c11	0c25	046a	0bd9	0bed	0c51	0c65	03d4
042a	04a2	0c11	0c25	046b	0bd9	0bed	0c51	0c65	03d4
042b	04a3	0c11	0c25	046b	0bd9	0bed	0c52	0c65	03d4
042b	04a3	0c11	0c25	046b	0bd9	0bed	0c52	0c65	03d4
042b	04a3	0c11	0c25	046b	0bd9	0bed	0c52	0c66	03d4
042b	04a4	0c11	0c25	046c	0bd9	0bed	0c52	0c66	03d4
042b	04a4	0c11	0c25	046c	0bd9	0bed	0c53	0c66	03d4
042b	04a4	0c11	0c25	046c	0bd9	0bed	0c53	0c67	03d4
042b	04a5	0c12	0c25	046d	0bd9	0bed	0c54	0c67	03d4
042b	04a6	0c11	0c25	046e	0bd9	0bed	0c55	0c68	03d4
042b	04a7	0c12	0c26	046f	0bd9	0bed	0c56	0c69	03d4
042b	04a8	0c12	0c26	0470	0bda	0bed	0c57	0c6a	03d4
042b	04a9	0c12	0c26	0471	0bda	0bed	0c58	0c6b	03d4
