Long Term Testing Log File,,,-,2024-08-20_113051
Time,,,,,Param,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Message
,,,,,,,,,,,STARTING TEST SET 1: SET FREQ and AMP: 0
2024-08-20_1130,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
2024-08-20_1131,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
2024-08-20_1131,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
2024-08-20_1131,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
2024-08-20_1131,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
2024-08-20_1132,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
,,,,,,,,,,,STARTING TEST SET 1: SET FREQ and AMP: 1
2024-08-20_1132,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
2024-08-20_1132,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
2024-08-20_1132,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
2024-08-20_1133,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
2024-08-20_1133,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
2024-08-20_1133,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
